ano,municipio,produto,variavel,valor
0,Santa Rosa do Purus - AC,Quantidade produzida,2020,
0,Santa Rosa do Purus - AC,Valor da produção,2020,3621.0
0,Santa Rosa do Purus - AC,Área colhida,2020,728.0
0,Senador Guiomard - AC,Quantidade produzida,2020,
0,Senador Guiomard - AC,Valor da produção,2020,20932.0
0,Senador Guiomard - AC,Área colhida,2020,3508.0
0,Sena Madureira - AC,Quantidade produzida,2020,
0,Sena Madureira - AC,Valor da produção,2020,20478.0
0,Sena Madureira - AC,Área colhida,2020,4765.0
0,Tarauacá - AC,Quantidade produzida,2020,
0,Tarauacá - AC,Valor da produção,2020,30629.0
0,Tarauacá - AC,Área colhida,2020,5860.0
0,Xapuri - AC,Quantidade produzida,2020,
0,Xapuri - AC,Valor da produção,2020,12057.0
0,Xapuri - AC,Área colhida,2020,3243.0
0,Porto Acre - AC,Quantidade produzida,2020,
0,Porto Acre - AC,Valor da produção,2020,16776.0
0,Porto Acre - AC,Área colhida,2020,3065.0
0,Alvarães - AM,Quantidade produzida,2020,
0,Alvarães - AM,Valor da produção,2020,54478.0
0,Alvarães - AM,Área colhida,2020,5253.0
0,Amaturá - AM,Quantidade produzida,2020,
0,Amaturá - AM,Valor da produção,2020,5638.0
0,Amaturá - AM,Área colhida,2020,290.0
0,Anamã - AM,Quantidade produzida,2020,
0,Anamã - AM,Valor da produção,2020,2988.0
0,Anamã - AM,Área colhida,2020,400.0
0,Anori - AM,Quantidade produzida,2020,
0,Anori - AM,Valor da produção,2020,3270.0
0,Anori - AM,Área colhida,2020,490.0
0,Apuí - AM,Quantidade produzida,2020,
0,Apuí - AM,Valor da produção,2020,10813.0
0,Apuí - AM,Área colhida,2020,1299.0
0,Atalaia do Norte - AM,Quantidade produzida,2020,
0,Atalaia do Norte - AM,Valor da produção,2020,7010.0
0,Atalaia do Norte - AM,Área colhida,2020,355.0
0,Autazes - AM,Quantidade produzida,2020,
0,Autazes - AM,Valor da produção,2020,55021.0
0,Autazes - AM,Área colhida,2020,5077.0
0,Barcelos - AM,Quantidade produzida,2020,
0,Barcelos - AM,Valor da produção,2020,823.0
0,Barcelos - AM,Área colhida,2020,54.0
0,Barreirinha - AM,Quantidade produzida,2020,
0,Barreirinha - AM,Valor da produção,2020,2433.0
0,Barreirinha - AM,Área colhida,2020,183.0
0,Benjamin Constant - AM,Quantidade produzida,2020,
0,Benjamin Constant - AM,Valor da produção,2020,5000.0
0,Benjamin Constant - AM,Área colhida,2020,253.0
0,Beruri - AM,Quantidade produzida,2020,
0,Beruri - AM,Valor da produção,2020,448.0
0,Beruri - AM,Área colhida,2020,75.0
0,Boa Vista do Ramos - AM,Quantidade produzida,2020,
0,Boa Vista do Ramos - AM,Valor da produção,2020,5698.0
0,Boa Vista do Ramos - AM,Área colhida,2020,497.0
0,Boca do Acre - AM,Quantidade produzida,2020,
0,Boca do Acre - AM,Valor da produção,2020,5846.0
0,Boca do Acre - AM,Área colhida,2020,1024.0
0,Borba - AM,Quantidade produzida,2020,
0,Borba - AM,Valor da produção,2020,13878.0
0,Borba - AM,Área colhida,2020,1326.0
0,Caapiranga - AM,Quantidade produzida,2020,
0,Caapiranga - AM,Valor da produção,2020,980.0
0,Caapiranga - AM,Área colhida,2020,127.0
0,Canutama - AM,Quantidade produzida,2020,
0,Canutama - AM,Valor da produção,2020,3657.0
