ano,municipio,valor_r,area_ha
2020,Amparo do São Francisco - SE,537.0,159.0
2020,Ampére - PR,68494.0,14481.0
2020,Amélia Rodrigues - BA,811.0,161.0
2020,América Dourada - BA,55212.0,5774.0
2020,Américo Brasiliense - SP,49953.0,8550.0
2020,Américo de Campos - SP,42474.0,8036.0
2020,Anadia - AL,37319.0,8295.0
2020,Anagé - BA,873.0,1123.0
2020,Anahy - PR,73436.0,14305.0
2020,Anajatuba - MA,1332.0,769.0
2020,Anajás - PA,2250.0,324.0
2020,Analândia - SP,65586.0,10680.0
2020,Anamã - AM,2988.0,400.0
2020,Ananás - TO,8278.0,1044.0
2020,Anapu - PA,6772.0,1415.0
2020,Anapurus - MA,41376.0,10015.0
2020,Anastácio - MS,61799.0,14058.0
2020,Anaurilândia - MS,118663.0,30380.0
2020,Anchieta - ES,593.0,129.0
2020,Anchieta - SC,11368.0,2249.0
2020,Andaraí - BA,3272.0,957.0
2020,Andirá - PR,179338.0,31869.0
2020,Andorinha - BA,320.0,2187.0
2020,Andradas - MG,21522.0,2283.0
2020,Andradina - SP,269881.0,42129.0
2020,Andrelândia - MG,29493.0,4551.0
2020,André da Rocha - RS,51512.0,21295.0
2020,Angatuba - SP,108665.0,16142.0
2020,Angelim - PE,2314.0,1083.0
2020,Angelina - SC,31491.0,2016.0
2020,Angelândia - MG,1687.0,627.0
2020,Angical - BA,8811.0,2917.0
2020,Angical do Piauí - PI,1321.0,919.0
2020,Angico - TO,4456.0,538.0
2020,Angicos - RN,100.0,260.0
2020,Angra dos Reis - RJ,1452.0,106.0
2020,Anguera - BA,508.0,1200.0
2020,Angélica - MS,389832.0,55924.0
2020,Anhanguera - GO,1107.0,205.0
2020,Anhembi - SP,68647.0,12700.0
2020,Anhumas - SP,48810.0,8841.0
2020,Anicuns - GO,61519.0,12157.0
2020,Anita Garibaldi - SC,20256.0,5568.0
2020,Anitápolis - SC,5610.0,499.0
2020,Anori - AM,3270.0,490.0
2020,Anta Gorda - RS,24280.0,4659.0
2020,Antas - BA,10744.0,4420.0
2020,Antonina - PR,3342.0,351.0
2020,Antonina do Norte - CE,1191.0,1068.0
2020,Antônio Almeida - PI,23472.0,5895.0
2020,Antônio Cardoso - BA,831.0,2058.0
2020,Antônio Carlos - MG,4329.0,398.0
2020,Antônio Carlos - SC,4189.0,313.0
2020,Antônio Dias - MG,432.0,83.0
2020,Antônio Gonçalves - BA,609.0,913.0
2020,Antônio João - MS,255178.0,67311.0
2020,Antônio Martins - RN,489.0,555.0
2020,Antônio Olinto - PR,96017.0,16068.0
2020,Antônio Prado - RS,17592.0,1921.0
2020,Antônio Prado de Minas - MG,200.0,35.0
2020,Anápolis - GO,66456.0,8355.0
2020,Anísio de Abreu - PI,3323.0,3269.0
2020,Aparecida - PB,3009.0,843.0
2020,Aparecida - SP,2145.0,260.0
2020,Aparecida d'Oeste - SP,10313.0,1765.0
