ano,municipio,produto,2020,2021,2022
0,Alegria - RS,Valor da produção,48582.0,77655.0,42597.0
0,Alegria - RS,Área colhida,12548.0,12515.0,11695.0
0,Alenquer - PA,Valor da produção,77610.0,85769.0,120658.0
0,Alenquer - PA,Área colhida,11527.0,11527.0,11493.0
0,Alexandria - RN,Valor da produção,268.0,651.0,1622.0
0,Alexandria - RN,Área colhida,325.0,401.0,612.0
0,Alexânia - GO,Valor da produção,82756.0,104755.0,110334.0
0,Alexânia - GO,Área colhida,12484.0,11250.0,11540.0
0,Alfenas - MG,Valor da produção,148098.0,312724.0,321538.0
0,Alfenas - MG,Área colhida,27089.0,31039.0,30914.0
0,Alfredo Chaves - ES,Valor da produção,22930.0,31375.0,63912.0
0,Alfredo Chaves - ES,Área colhida,886.0,886.0,886.0
0,Alfredo Marcondes - SP,Valor da produção,2625.0,2806.0,7903.0
0,Alfredo Marcondes - SP,Área colhida,450.0,462.0,470.0
0,Alfredo Vasconcelos - MG,Valor da produção,5188.0,6218.0,12318.0
0,Alfredo Vasconcelos - MG,Área colhida,265.0,261.0,397.0
0,Alfredo Wagner - SC,Valor da produção,172021.0,188681.0,236418.0
0,Alfredo Wagner - SC,Área colhida,7637.0,7847.0,7957.0
0,Algodão de Jandaíra - PB,Valor da produção,118.0,14.0,284.0
0,Algodão de Jandaíra - PB,Área colhida,150.0,80.0,185.0
0,Alhandra - PB,Valor da produção,19638.0,20076.0,20399.0
0,Alhandra - PB,Área colhida,3052.0,2695.0,2212.0
0,Aliança - PE,Valor da produção,60363.0,75064.0,129559.0
0,Aliança - PE,Área colhida,8596.0,10093.0,10137.0
0,Aliança do Tocantins - TO,Valor da produção,30313.0,63353.0,91844.0
0,Aliança do Tocantins - TO,Área colhida,7518.0,8340.0,11251.0
0,Almadina - BA,Valor da produção,386.0,563.0,672.0
0,Almadina - BA,Área colhida,109.0,120.0,120.0
0,Almas - TO,Valor da produção,35863.0,112298.0,154972.0
0,Almas - TO,Área colhida,13491.0,13846.0,17020.0
0,Almeirim - PA,Valor da produção,3238.0,6189.0,5461.0
0,Almeirim - PA,Área colhida,391.0,391.0,366.0
0,Almenara - MG,Valor da produção,1436.0,1849.0,2750.0
0,Almenara - MG,Área colhida,506.0,697.0,606.0
0,Almino Afonso - RN,Valor da produção,939.0,1300.0,1598.0
0,Almino Afonso - RN,Área colhida,268.0,334.0,336.0
0,Almirante Tamandaré - PR,Valor da produção,19176.0,30362.0,27291.0
0,Almirante Tamandaré - PR,Área colhida,2645.0,2464.0,2344.0
0,Almirante Tamandaré do Sul - RS,Valor da produção,112774.0,197336.0,173420.0
0,Almirante Tamandaré do Sul - RS,Área colhida,24854.0,25644.0,26253.0
0,Aloândia - GO,Valor da produção,15068.0,27108.0,36180.0
0,Aloândia - GO,Área colhida,3605.0,3769.0,4118.0
0,Alpercata - MG,Valor da produção,2424.0,2386.0,2398.0
0,Alpercata - MG,Área colhida,338.0,264.0,266.0
0,Alpestre - RS,Valor da produção,30900.0,34024.0,54042.0
0,Alpestre - RS,Área colhida,6118.0,5441.0,7360.0
0,Alpinópolis - MG,Valor da produção,32135.0,64963.0,60212.0
0,Alpinópolis - MG,Área colhida,6241.0,6514.0,6264.0
0,Alta Floresta - MT,Valor da produção,182659.0,341026.0,740039.0
0,Alta Floresta - MT,Área colhida,43238.0,43853.0,76514.0
0,Alta Floresta D'Oeste - RO,Valor da produção,40723.0,74356.0,47660.0
0,Alta Floresta D'Oeste - RO,Área colhida,11422.0,15721.0,3994.0
0,Altair - SP,Valor da produção,86539.0,140119.0,183130.0
0,Altair - SP,Área colhida,15982.0,16732.0,16624.0
0,Altamira - PA,Valor da produção,114000.0,242003.0,131491.0
0,Altamira - PA,Área colhida,28979.0,29062.0,29057.0
0,Altamira do Maranhão - MA,Valor da produção,1723.0,2691.0,4031.0
0,Altamira do Maranhão - MA,Área colhida,1041.0,1093.0,1093.0
0,Altamira do Paraná - PR,Valor da produção,12694.0,26768.0,26732.0
0,Altamira do Paraná - PR,Área colhida,2743.0,3587.0,4193.0
0,Altaneira - CE,Valor da produção,2203.0,3793.0,3593.0
0,Altaneira - CE,Área colhida,1049.0,1258.0,1394.0
0,Alterosa - MG,Valor da produção,21915.0,46913.0,49389.0
0,Alterosa - MG,Área colhida,4088.0,4546.0,4794.0
0,Altinho - PE,Valor da produção,3038.0,4097.0,4544.0
0,Altinho - PE,Área colhida,625.0,660.0,922.0
0,Altinópolis - SP,Valor da produção,189452.0,214062.0,196058.0
0,Altinópolis - SP,Área colhida,27910.0,27910.0,27910.0
0,Alto Alegre - RR,Valor da produção,206520.0,307384.0,406637.0
0,Alto Alegre - RR,Área colhida,29500.0,31108.0,41276.0
0,Alto Alegre - RS,Valor da produção,16929.0,70771.0,29328.0
0,Alto Alegre - RS,Área colhida,8180.0,8500.0,8228.0
0,Alto Alegre - SP,Valor da produção,70990.0,79360.0,103181.0
0,Alto Alegre - SP,Área colhida,14120.0,9168.0,10473.0
0,Alto Alegre do Maranhão - MA,Valor da produção,652.0,1832.0,1455.0
0,Alto Alegre do Maranhão - MA,Área colhida,635.0,625.0,653.0
0,Alto Alegre do Pindaré - MA,Valor da produção,2305.0,2686.0,5841.0
0,Alto Alegre do Pindaré - MA,Área colhida,896.0,818.0,1037.0
0,Alto Alegre dos Parecis - RO,Valor da produção,72997.0,187903.0,55694.0
0,Alto Alegre dos Parecis - RO,Área colhida,19376.0,30630.0,6811.0
0,Alto Araguaia - MT,Valor da produção,256932.0,528336.0,655623.0
0,Alto Araguaia - MT,Área colhida,55262.0,61536.0,67399.0
0,Alto Bela Vista - SC,Valor da produção,5789.0,5734.0,9591.0
0,Alto Bela Vista - SC,Área colhida,926.0,856.0,1106.0
0,Alto Boa Vista - MT,Valor da produção,140014.0,326974.0,456580.0
0,Alto Boa Vista - MT,Área colhida,35960.0,53134.0,53600.0
0,Alto Caparaó - MG,Valor da produção,533.0,739.0,591.0
0,Alto Caparaó - MG,Área colhida,161.0,150.0,120.0
0,Alto Feliz - RS,Valor da produção,2434.0,3106.0,4081.0
0,Alto Feliz - RS,Área colhida,225.0,226.0,222.0
0,Alto Garças - MT,Valor da produção,637706.0,1200903.0,1568924.0
0,Alto Garças - MT,Área colhida,139511.0,137511.0,142498.0
0,Alto Horizonte - GO,Valor da produção,2572.0,4085.0,4753.0
0,Alto Horizonte - GO,Área colhida,568.0,596.0,605.0
0,Alto Jequitibá - MG,Valor da produção,1001.0,1796.0,1541.0
0,Alto Jequitibá - MG,Área colhida,337.0,352.0,335.0
0,Alto Longá - PI,Valor da produção,4837.0,6458.0,4705.0
0,Alto Longá - PI,Área colhida,2804.0,2770.0,2770.0
0,Alto Paraguai - MT,Valor da produção,46681.0,91124.0,96326.0
0,Alto Paraguai - MT,Área colhida,11185.0,11472.0,11447.0
0,Alto Paraná - PR,Valor da produção,41188.0,38125.0,67113.0
0,Alto Paraná - PR,Área colhida,6420.0,5575.0,6060.0
0,Alto Paraíso - PR,Valor da produção,26180.0,36099.0,61143.0
0,Alto Paraíso - PR,Área colhida,3500.0,3691.0,4892.0
0,Alto Paraíso - RO,Valor da produção,93146.0,236848.0,283840.0
0,Alto Paraíso - RO,Área colhida,20388.0,30837.0,27046.0
0,Alto Paraíso de Goiás - GO,Valor da produção,120120.0,160302.0,259502.0
0,Alto Paraíso de Goiás - GO,Área colhida,20492.0,19867.0,25567.0
0,Alto Parnaíba - MA,Valor da produção,383710.0,614253.0,746268.0
0,Alto Parnaíba - MA,Área colhida,72663.0,75508.0,83895.0
0,Alto Piquiri - PR,Valor da produção,227119.0,376684.0,267778.0
0,Alto Piquiri - PR,Área colhida,59226.0,60267.0,58421.0
0,Alto Rio Doce - MG,Valor da produção,8734.0,15815.0,14933.0
0,Alto Rio Doce - MG,Área colhida,2192.0,2309.0,2509.0
0,Alto Rio Novo - ES,Valor da produção,237.0,307.0,258.0
0,Alto Rio Novo - ES,Área colhida,50.0,50.0,36.0
0,Alto Santo - CE,Valor da produção,5300.0,4261.0,5252.0
0,Alto Santo - CE,Área colhida,1471.0,1416.0,1437.0
0,Alto Taquari - MT,Valor da produção,574782.0,1167999.0,1576443.0
0,Alto Taquari - MT,Área colhida,128469.0,138140.0,152994.0
0,Alto do Rodrigues - RN,Valor da produção,583.0,146.0,1892.0
0,Alto do Rodrigues - RN,Área colhida,460.0,43.0,530.0
0,Altos - PI,Valor da produção,4030.0,4632.0,5516.0
0,Altos - PI,Área colhida,1579.0,1579.0,1579.0
0,Altônia - PR,Valor da produção,67684.0,97399.0,70071.0
0,Altônia - PR,Área colhida,12046.0,12174.0,12922.0
0,Alumínio - SP,Valor da produção,1427.0,1211.0,2550.0
0,Alumínio - SP,Área colhida,271.0,231.0,271.0
0,Alvarenga - MG,Valor da produção,448.0,606.0,551.0
0,Alvarenga - MG,Área colhida,126.0,126.0,117.0
0,Alvarães - AM,Valor da produção,54478.0,55300.0,60478.0
0,Alvarães - AM,Área colhida,5253.0,5206.0,5212.0
0,Alvinlândia - SP,Valor da produção,4808.0,2796.0,3772.0
0,Alvinlândia - SP,Área colhida,391.0,288.0,329.0
0,Alvinópolis - MG,Valor da produção,2828.0,4986.0,4326.0
0,Alvinópolis - MG,Área colhida,686.0,776.0,734.0
0,Alvorada - RS,Valor da produção,72.0,544.0,1500.0
0,Alvorada - RS,Área colhida,31.0,47.0,192.0
0,Alvorada - TO,Valor da produção,121535.0,270243.0,260237.0
0,Alvorada - TO,Área colhida,31136.0,44658.0,42474.0
0,Alvorada D'Oeste - RO,Valor da produção,11658.0,15214.0,17088.0
0,Alvorada D'Oeste - RO,Área colhida,1018.0,1271.0,1387.0
0,Alvorada de Minas - MG,Valor da produção,1581.0,2023.0,1356.0
0,Alvorada de Minas - MG,Área colhida,429.0,407.0,242.0
0,Alvorada do Gurguéia - PI,Valor da produção,18377.0,29277.0,36404.0
0,Alvorada do Gurguéia - PI,Área colhida,4020.0,3999.0,4229.0
0,Alvorada do Norte - GO,Valor da produção,16036.0,27883.0,28491.0
0,Alvorada do Norte - GO,Área colhida,3030.0,3118.0,3012.0
0,Alvorada do Sul - PR,Valor da produção,226582.0,204283.0,365857.0
0,Alvorada do Sul - PR,Área colhida,46551.0,41056.0,44591.0
0,Além Paraíba - MG,Valor da produção,664.0,930.0,860.0
0,Além Paraíba - MG,Área colhida,70.0,70.0,66.0
0,Amajari - RR,Valor da produção,13369.0,18541.0,34009.0
0,Amajari - RR,Área colhida,1220.0,1845.0,3295.0
0,Amambai - MS,Valor da produção,470239.0,1404476.0,1119537.0
0,Amambai - MS,Área colhida,138495.0,173260.0,195165.0
0,Amaporã - PR,Valor da produção,75633.0,80879.0,83233.0
0,Amaporã - PR,Área colhida,14429.0,13921.0,14433.0
0,Amapá - AP,Valor da produção,4388.0,3534.0,3663.0
0,Amapá - AP,Área colhida,735.0,513.0,548.0
0,Amapá do Maranhão - MA,Valor da produção,524.0,578.0,1221.0
0,Amapá do Maranhão - MA,Área colhida,368.0,415.0,404.0
0,Amaraji - PE,Valor da produção,41369.0,57057.0,41763.0
0,Amaraji - PE,Área colhida,6852.0,6852.0,6925.0
0,Amaral Ferrador - RS,Valor da produção,31637.0,73550.0,92052.0
0,Amaral Ferrador - RS,Área colhida,6577.0,6843.0,6812.0
0,Amaralina - GO,Valor da produção,23495.0,34351.0,33672.0
0,Amaralina - GO,Área colhida,4980.0,5103.0,4617.0
0,Amarante - PI,Valor da produção,7517.0,9824.0,7721.0
0,Amarante - PI,Área colhida,3690.0,4370.0,4060.0
0,Amarante do Maranhão - MA,Valor da produção,2727.0,4869.0,11149.0
0,Amarante do Maranhão - MA,Área colhida,2306.0,2171.0,3069.0
0,Amargosa - BA,Valor da produção,3769.0,4544.0,6059.0
0,Amargosa - BA,Área colhida,828.0,804.0,920.0
0,Amaturá - AM,Valor da produção,5638.0,6233.0,7502.0
0,Amaturá - AM,Área colhida,290.0,234.0,242.0
0,Americana - SP,Valor da produção,12154.0,15867.0,2285.0
0,Americana - SP,Área colhida,2110.0,2110.0,240.0
0,Americano do Brasil - GO,Valor da produção,6195.0,6989.0,12138.0
0,Americano do Brasil - GO,Área colhida,1312.0,860.0,1350.0
0,Ametista do Sul - RS,Valor da produção,7570.0,12152.0,8755.0
0,Ametista do Sul - RS,Área colhida,1848.0,2154.0,2091.0
0,Amontada - CE,Valor da produção,9690.0,18044.0,13590.0
0,Amontada - CE,Área colhida,11603.0,12055.0,12932.0
0,Amorinópolis - GO,Valor da produção,24987.0,89667.0,86991.0
0,Amorinópolis - GO,Área colhida,6132.0,10632.0,9030.0
